Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
937.0;0.0;1.0;1.0;0.7256324662359142;1.0;1.0;1.0;0.4907987211032695;0.7786007755996027;0.7786007755996027
945.0;0.0;1.0;1.0;0.9411252565058325;1.0;1.0;1.0;0.4963937100186049;0.5151037063840807;0.5151037063840807
950.0;0.0;1.0;0.0;0.5362212730145052;1.0;1.0;1.0;0.4886021075157907;0.4640925323177705;0.4640925323177705
955.0;1.0;1.0;1.0;0.9994839546319112;1.0;1.0;1.0;0.49559706416637483;0.686226151509054;0.686226151509054
1001.0;0.0;1.0;0.0;0.9793506886880792;1.0;1.0;1.0;0.4896449704142013;0.8223998527895436;0.8223998527895436
1007.0;1.0;1.0;0.0;0.9999966870513436;1.0;1.0;1.0;0.4920974119541459;0.7817105364658699;0.7817105364658699
1116.0;1.0;1.0;1.0;0.9998429570155112;1.0;1.0;1.0;0.4846377827678512;0.7827063245096055;0.7827063245096055
1132.0;1.0;1.0;1.0;0.9998241612154528;1.0;1.0;1.0;0.49999954432737714;0.6028932115812036;0.6028932115812036
1011_2;0.0;2.0;1.0;0.8474641966170855;1.0;1.0;1.0;0.4050639471415619;0.6855072301062186;0.6855072301062186
1057_2;1.0;2.0;1.0;0.99063173547693;1.0;1.0;1.0;0.40457781622197075;0.8036353037146073;0.8036353037146073
1061_2;0.0;2.0;0.0;0.9048688388780112;1.0;1.0;1.0;0.41714499487194123;0.7731498343052581;0.7731498343052581
1094_2;1.0;2.0;1.0;0.999332242249899;1.0;1.0;1.0;0.4189560094331325;0.8188327829829809;0.8188327829829809
914_2;1.0;2.0;1.0;0.9997892647555712;1.0;1.0;1.0;0.4191337000432779;0.6956230381639714;0.6956230381639714
934_2;0.0;2.0;0.0;0.8319731422584498;1.0;1.0;1.0;0.39395518266910146;0.6744672101110344;0.6744672101110344
959_2;1.0;2.0;1.0;0.9691258790407742;1.0;1.0;1.0;0.40614388566516235;0.6497149542374414;0.6497149542374414
983_2;0.0;2.0;1.0;0.9634888312053166;1.0;1.0;1.0;0.3802697750295898;0.8136143426351099;0.8136143426351099
1042_3;1.0;3.0;0.0;0.6983988775575922;1.0;1.0;1.0;0.28707048028114024;0.7534485190164342;0.7534485190164342
1051_3;0.0;3.0;0.0;0.9999468666135938;1.0;1.0;1.0;0.31461976383264434;0.6848427092763953;0.6848427092763953
1064_3;1.0;3.0;1.0;0.9999999999999972;1.0;1.0;1.0;0.33651405483976893;0.0916061911746402;0.0916061911746402
1073_3;0.0;3.0;0.0;0.9999998330319582;1.0;1.0;1.0;0.2977860443613868;0.6445065508413399;0.6445065508413399
1108_3;0.0;3.0;1.0;0.9999983190266096;1.0;1.0;1.0;0.30030396920229596;0.5499647683413306;0.5499647683413306
918_3;1.0;3.0;1.0;0.9999999999972408;1.0;1.0;1.0;0.30679847988651676;0.704054027792493;0.704054027792493
958_3;0.0;3.0;0.0;0.99999998422367;1.0;1.0;1.0;0.29391258368388284;0.7076158689042478;0.7076158689042478
981_3;1.0;3.0;1.0;1.0;1.0;1.0;1.0;0.3187381852076283;0.7575170893814795;0.7575170893814795
1005_4;0.0;4.0;1.0;0.9810698590878032;1.0;1.0;1.0;0.29079775280898856;0.6083057727783523;0.6083057727783523
