Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
918;1;1;1;0.9999741993153979;1.0;1.0;1.0;0.45310557903334636;0.7633514981089029;0.7633514981089029
925;1;1;1;0.9999998818082952;1.0;1.0;1.0;0.4420856063845563;0.721470704076336;0.721470704076336
931;0;1;1;0.9526011472695084;1.0;1.0;1.0;0.4773461167149373;0.43694992951746736;0.43694992951746736
935;0;1;0;0.9954927662864672;1.0;1.0;1.0;0.44280205385265603;0.5973301983491266;0.5973301983491266
1062;1;1;1;0.9945594609810924;1.0;1.0;1.0;0.45341569929368786;0.7479701073592426;0.7479701073592426
1079;0;1;0;0.992483749304048;1.0;1.0;1.0;0.4382722850068712;0.5224872722792481;0.5224872722792481
1109;0;1;0;0.8536939070956419;1.0;1.0;1.0;0.47086189140239354;0.793634843306543;0.793634843306543
1122;1;1;1;0.5350831770441581;1.0;1.0;1.0;0.47819283949211744;-8.713008020353907;-8.713008020353907
1002_13;1;13;1;0.9970377869499072;1.0;1.0;1.0;0.4739725592326748;-2.8393669197086067;-2.8393669197086067
1003_11;0;11;0;0.9994488193599046;1.0;1.0;1.0;0.45704467353951883;0.587437722705759;0.587437722705759
1004_11;1;11;0;0.8868680274505137;1.0;1.0;1.0;0.44170282826778984;0.7883940854323549;0.7883940854323549
1004_3;1;3;1;0.992040831576412;1.0;1.0;1.0;0.4638599852944454;0.8001696170354717;0.8001696170354717
1004_8;1;8;1;0.9479114304681541;1.0;1.0;1.0;0.4532118687595599;0.566809552025743;0.566809552025743
1005_8;0;8;0;0.5769720375649142;1.0;1.0;1.0;0.46735791772455304;0.7309395165740689;0.7309395165740689
1009_8;0;8;1;0.9970202535429202;1.0;1.0;1.0;0.4274001356844236;0.7702243973753127;0.7702243973753127
1009_9;0;9;1;0.9983468928487432;1.0;1.0;1.0;0.43621947457038535;-0.6952388343731704;-0.6952388343731704
1017_3;1;3;1;0.9997760294073827;1.0;1.0;1.0;0.4529962932454694;0.8041082658010574;0.8041082658010574
1017_4;1;4;1;0.9998342625902727;1.0;1.0;1.0;0.44170282826778995;0.8084996766177543;0.8084996766177543
1018_12;0;12;0;0.9999738083076052;1.0;1.0;1.0;0.48421704146894995;0.7520861604005057;0.7520861604005057
1018_4;0;4;0;0.9999109734310462;1.0;1.0;1.0;0.45276848410346804;0.7784925885197158;0.7784925885197158
1020_14;1;14;1;0.9989620870264846;1.0;1.0;1.0;0.4740608133096783;0.2805443251159523;0.2805443251159523
1022_14;0;14;1;0.9748724035663312;1.0;1.0;1.0;0.45737208295882015;0.7878276347640969;0.7878276347640969
1022_5;0;5;1;0.9988330260008316;1.0;1.0;1.0;0.44584591799377626;0.8086671550025348;0.8086671550025348
1024_3;0;3;1;0.9959633857403846;1.0;1.0;1.0;0.44482201515449593;0.7036068796363341;0.7036068796363341
1026_4;1;4;1;0.9999964478130204;1.0;1.0;1.0;0.4673106289285842;0.8116002853154627;0.8116002853154627
1029_6;0;6;0;0.9999863067543984;1.0;1.0;1.0;0.4429714132929302;0.7466972620581206;0.7466972620581206
1030_2;1;2;1;0.9947465150415566;1.0;1.0;1.0;0.4673603873545251;0.8289818643967928;0.8289818643967928
1030_6;1;6;1;0.9984453140076706;1.0;1.0;1.0;0.45360824742268036;0.7850727221777514;0.7850727221777514
1031_9;0;9;0;0.9836750970396048;1.0;1.0;1.0;0.4673613892293731;0.7642163689691444;0.7642163689691444
1036_12;1;12;1;0.999178272731472;1.0;1.0;1.0;0.4806751223409568;0.03701593365594047;0.03701593365594047
1038_7;0;7;0;0.9271460785057932;1.0;1.0;1.0;0.43642611683848787;0.7926000623622097;0.7926000623622097
1041_11;0;11;1;0.9993824636045052;1.0;1.0;1.0;0.47071088218426227;0.762857084405832;0.762857084405832
1041_13;0;13;1;0.9999052186162786;1.0;1.0;1.0;0.4673613892293731;0.7991720544127341;0.7991720544127341
