Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
972.0;0.0;1.0;0.0;1.0;1.0;0.9999862648543066;0.9999862648543066;0.4518858176181867;0.9429788725164059;0.9429788725164059
991.0;1.0;1.0;0.0;1.0;1.0;0.9999792663756608;0.9999792663756608;0.4456429659488923;0.942900351533038;0.942900351533038
1042.0;1.0;1.0;0.0;1.0;1.0;0.9999889744425398;0.9999889744425398;0.4558021672150404;0.9256808019775199;0.9256808019775199
1088.0;0.0;1.0;0.0;1.0;1.0;0.9999808952333149;0.9999808952333149;0.44204779274223704;0.942348378706445;0.942348378706445
1090.0;1.0;1.0;1.0;1.0;1.0;0.9999647291859304;0.9999647291859304;0.178244805007023;0.9412524591565983;0.9412524591565983
1102.0;0.0;1.0;1.0;1.0;1.0;0.9999635190803758;0.9999635190803758;0.18938517530230348;0.8836002749878406;0.8836002749878406
1133.0;0.0;1.0;0.0;1.0;1.0;0.9999607896022012;0.9999607896022012;0.4502813324702486;0.9405188099889884;0.9405188099889884
1137.0;1.0;1.0;1.0;1.0;1.0;0.9999673031543332;0.9999673031543332;0.29673311219856735;0.9423851491290139;0.9423851491290139
1023_2;0.0;2.0;0.0;1.0;1.0;0.9993866274382264;0.9993866274382264;0.3459613250680479;0.9227745606444113;0.9227745606444113
1055_2;1.0;2.0;0.0;0.9999999301830964;1.0;0.982328266803212;0.982328266803212;0.3326345293332428;0.9187342860899169;0.9187342860899169
1098_2;0.0;2.0;0.0;1.0;1.0;0.9593389003197996;0.9593389003197996;0.32659874050348914;0.833281351460845;0.833281351460845
1104_2;1.0;2.0;0.0;1.0;1.0;0.9264145325731056;0.9264145325731056;0.31381676194128383;0.9245204810472634;0.9245204810472634
928_2;0.0;2.0;0.0;1.0;1.0;0.999742239916666;0.999742239916666;0.32697898980335416;0.9102452231597491;0.9102452231597491
933_2;0.0;2.0;0.0;1.0;0.6492545260915867;-0.8470320138360716;-0.8470320138360716;0.31692799070847866;0.9244267025492906;0.9244267025492906
955_2;1.0;2.0;1.0;1.0;0.7266336135104776;0.5204394192249779;0.5204394192249779;0.3257757651606873;0.9268781937760923;0.9268781937760923
981_2;1.0;2.0;1.0;1.0;0.8746803750266354;0.2957414955601844;0.2957414955601844;0.13590528129003288;0.9192531372670534;0.9192531372670534
1032_3;1.0;3.0;1.0;1.0;0.4078442654392023;-9.790013102291027;-9.790013102291027;0.387390541887462;0.9162591824099988;0.9162591824099988
1049_3;1.0;3.0;1.0;0.9999999999990904;0.5996168582375478;-15.348351590385365;-15.348351590385365;0.38039756653176005;0.9348292263289935;0.9348292263289935
1062_3;1.0;3.0;1.0;1.0;0.27119294207901823;-4.864420834985127;-4.864420834985127;0.2728491276386914;0.9380192559719327;0.9380192559719327
1088_3;0.0;3.0;1.0;1.0;0.4601954070488222;-1.2139647326340093;-1.2139647326340093;0.33347542683259923;0.9436398121292231;0.9436398121292231
1106_3;0.0;3.0;0.0;0.9999994165493146;0.6777078707130519;-5.464109177022624;-5.464109177022624;0.3695672642946106;0.9375624618979637;0.9375624618979637
1140_3;0.0;3.0;0.0;1.0;1.0;0.09798055785147652;0.09798055785147652;0.36975282485875705;0.933915408470193;0.933915408470193
913_3;1.0;3.0;1.0;1.0;0.3321830265848671;-3.8566467337318784;-3.8566467337318784;0.37178174988393187;0.9366291613094897;0.9366291613094897
948_3;0.0;3.0;1.0;0.9999998466514745;0.18625407322215812;-8.547911311477751;-8.547911311477751;0.3799021975235741;0.9441979681666304;0.9441979681666304
1080_4;0.0;4.0;1.0;1.0;0.8331590869489458;-5.118887871043089;-5.118887871043089;0.4146822101357983;0.8008840005162003;0.8008840005162003
1081_4;1.0;4.0;0.0;1.0;1.0;0.5483821006124479;0.5483821006124479;0.4114621865818038;0.910988854625119;0.910988854625119
1084_4;0.0;4.0;1.0;1.0;0.5618899250479343;-8.638221750700836;-8.638221750700836;0.41408143333527225;0.9178964691173128;0.9178964691173128
921_4;0.0;4.0;1.0;1.0;0.1993031358885018;-7.828459551773138;-7.828459551773138;0.42593446451517736;0.9065074920281649;0.9065074920281649
949_4;1.0;4.0;0.0;1.0;0.3994773519163763;-7.870717341822729;-7.870717341822729;0.43996425194954836;0.922235069428023;0.922235069428023
953_4;0.0;4.0;0.0;1.0;1.0;0.9608312541246172;0.9608312541246172;0.42390428910524414;0.9125821109368765;0.9125821109368765
981_4;1.0;4.0;1.0;1.0;0.3805198406178114;-2.281429031407196;-2.281429031407196;0.42311660540604457;0.9249238732220724;0.9249238732220724
990_4;1.0;4.0;1.0;1.0;0.7854528705870637;-4.961060843978911;-4.961060843978911;0.42577836893398546;0.9291592234239521;0.9291592234239521
1040_5;1.0;5.0;1.0;1.0;0.666189035716181;-2.8503529243612524;-2.8503529243612524;0.4117758395536826;0.8380691339878166;0.8380691339878166
1048_5;0.0;5.0;1.0;0.9999988811106852;0.16467463479415667;-4.407735519025602;-4.407735519025602;0.41341419695853987;0.9261482501332876;0.9261482501332876
1066_5;1.0;5.0;1.0;1.0;0.311624482648838;-5.4200180902234685;-5.4200180902234685;0.4114006439209691;0.8052803656788439;0.8052803656788439
1076_5;1.0;5.0;1.0;1.0;0.3995226730310264;-4.200856048227715;-4.200856048227715;0.4237289189410608;0.2689850061552328;0.2689850061552328
1111_5;0.0;5.0;0.0;1.0;0.2480873445967485;-3.5068572432772593;-3.5068572432772593;0.4360965200026474;0.8055440804532003;0.8055440804532003
1137_5;1.0;5.0;1.0;1.0;0.3326967960959051;-2.6508534611216117;-2.6508534611216117;0.4241500239949795;0.8356578385684497;0.8356578385684497
933_5;0.0;5.0;1.0;1.0;0.24904489016236864;-5.339550101101554;-5.339550101101554;0.4254947473430438;0.8911550567390216;0.8911550567390216
999_5;0.0;5.0;1.0;1.0;0.24904489016236864;-4.998777851098258;-4.998777851098258;0.42786736991496266;0.9248722184704621;0.9248722184704621
1025_6;0.0;6.0;1.0;1.0;0.9238751552546176;-1.5308196675399364;-1.5308196675399364;0.31554821167671854;0.908346215883489;0.908346215883489
1089_6;0.0;6.0;0.0;1.0;0.9086501863055412;-2.3591656553142566;-2.3591656553142566;0.3091655050675206;0.8971356210371276;0.8971356210371276
1095_6;0.0;6.0;1.0;1.0;0.6653456627036548;-2.9054496968924663;-2.9054496968924663;0.3198148283927156;0.8974219215434515;0.8974219215434515
1115_6;1.0;6.0;1.0;1.0;1.0;0.7234645753315904;0.7234645753315904;0.3235572383197516;0.8577096446724108;0.8577096446724108
1122_6;1.0;6.0;0.0;1.0;1.0;0.9997236106959112;0.9997236106959112;0.3155209282039739;0.8720355059283648;0.8720355059283648
1127_6;1.0;6.0;1.0;1.0;0.6839375703312296;-1.7833753722713641;-1.7833753722713641;0.3148853858903289;0.8974837865818246;0.8974837865818246
946_6;1.0;6.0;1.0;1.0;0.7189728539985327;-1.3055492768769723;-1.3055492768769723;0.31923598082134663;0.8366456006452903;0.8366456006452903
973_6;0.0;6.0;0.0;1.0;1.0;0.9997425159657906;0.9997425159657906;0.3275092881363172;0.8959503085081607;0.8959503085081607
1057_7;1.0;7.0;1.0;1.0;0.418029891304348;-3.5187577233370373;-3.5187577233370373;0.325814165609137;0.8442883309238011;0.8442883309238011
1058_7;1.0;7.0;1.0;1.0;0.972086149287129;-0.5848284206180177;-0.5848284206180177;0.326977909517429;0.8373152342407751;0.8373152342407751
1063_7;1.0;7.0;1.0;1.0;0.6987763426240652;-0.8786148745934912;-0.8786148745934912;0.3275372436387505;0.8536108992801714;0.8536108992801714
1069_7;0.0;7.0;0.0;1.0;0.8528415431213136;-4.150584760379002;-4.150584760379002;0.32173534194468767;0.8524429908122503;0.8524429908122503
1071_7;1.0;7.0;1.0;1.0;0.20848993240636216;-2.6103526901662035;-2.6103526901662035;0.32824638604774325;0.8855395603201746;0.8855395603201746
1106_7;0.0;7.0;1.0;1.0;0.6704470114239087;-2.5474675848747115;-2.5474675848747115;0.3345568899642355;0.8625143154686834;0.8625143154686834
1135_7;0.0;7.0;1.0;1.0;0.6499509512975237;-2.7443631231437204;-2.7443631231437204;0.321138619382179;0.8470189230249271;0.8470189230249271
934_7;0.0;7.0;1.0;1.0;0.6547540119679043;-2.5530583428322635;-2.5530583428322635;0.32983853622661896;0.8605187460120043;0.8605187460120043
1015_8;0.0;8.0;0.0;1.0;0.8994314592545799;-3.1368296476480872;-3.1368296476480872;0.2535498930947412;0.6074553258599541;0.6074553258599541
1029_8;0.0;8.0;0.0;1.0;0.21754253308128524;-2.905738335208237;-2.905738335208237;0.27004795216475785;0.8383734918781828;0.8383734918781828
1036_8;1.0;8.0;1.0;1.0;0.7273726904010815;-2.358775489900312;-2.358775489900312;0.26551181550596825;0.8190866269950384;0.8190866269950384
1064_8;1.0;8.0;1.0;1.0;0.4827039156545906;-3.917688320812196;-3.917688320812196;0.2577105803800718;-0.7730855190456023;-0.7730855190456023
1066_8;1.0;8.0;1.0;1.0;0.6562537370945668;-2.1640147229754416;-2.1640147229754416;0.24803496818488802;0.608045792664313;0.608045792664313
1091_8;1.0;8.0;1.0;1.0;0.1795506081220366;-4.895383054813607;-4.895383054813607;0.256024896286957;0.8612316598759109;0.8612316598759109
1108_8;0.0;8.0;1.0;1.0;0.3320746800923011;-4.294232404768771;-4.294232404768771;0.2571763449888588;0.8572017934459799;0.8572017934459799
1124_8;0.0;8.0;1.0;1.0;0.4494688749750813;-3.8827973348439047;-3.8827973348439047;0.25399576570218785;0.8226694216052326;0.8226694216052326
