static__AMOUNT_REQ,agg__Activity_A_ACCEPTED-COMPLETE,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_PREACCEPTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Activity_W_Afhandelen leads-COMPLETE,agg__Activity_W_Afhandelen leads-SCHEDULE,agg__Activity_W_Afhandelen leads-START,agg__Activity_W_Beoordelen fraude-COMPLETE,agg__Activity_W_Beoordelen fraude-SCHEDULE,agg__Activity_W_Beoordelen fraude-START,agg__Activity_W_Completeren aanvraag-COMPLETE,agg__Activity_W_Completeren aanvraag-SCHEDULE,agg__Activity_W_Completeren aanvraag-START,agg__Resource_10138.0,agg__Resource_10188.0,agg__Resource_10228.0,agg__Resource_10609.0,agg__Resource_10629.0,agg__Resource_10779.0,agg__Resource_10809.0,agg__Resource_10859.0,agg__Resource_10861.0,agg__Resource_10862.0,agg__Resource_10863.0,agg__Resource_10880.0,agg__Resource_10881.0,agg__Resource_10889.0,agg__Resource_10909.0,agg__Resource_10910.0,agg__Resource_10912.0,agg__Resource_10913.0,agg__Resource_10914.0,agg__Resource_10929.0,agg__Resource_10931.0,agg__Resource_10932.0,agg__Resource_10933.0,agg__Resource_10935.0,agg__Resource_10939.0,agg__Resource_10971.0,agg__Resource_10972.0,agg__Resource_10982.0,agg__Resource_11000.0,agg__Resource_11001.0,agg__Resource_11002.0,agg__Resource_11003.0,agg__Resource_11009.0,agg__Resource_11019.0,agg__Resource_11049.0,agg__Resource_11111.0,agg__Resource_11119.0,agg__Resource_11120.0,agg__Resource_11121.0,agg__Resource_11122.0,agg__Resource_11169.0,agg__Resource_11179.0,agg__Resource_11180.0,agg__Resource_11181.0,agg__Resource_11189.0,agg__Resource_112.0,agg__Resource_11200.0,agg__Resource_11201.0,agg__Resource_11202.0,agg__Resource_11203.0,agg__Resource_11259.0,agg__Resource_other,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,12.0,1.0,28.0,5.680375574437544,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,318.6666666666667,762.0,98.0,1912.0,341.0863038391701,110.66322777777778,657.1260333333333,0.0,663.9793666666667,267.7210047964773,220.6352111111111,663.9793666666667,0.0,1323.8112666666666,341.11473402310446,3.5,6.0,1.0,21.0,1.8708286933869707,4.0,10.0,1.0,24.0,4.6475800154489
5000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,9.0,60.0,1.5491933384829668,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,619.1666666666666,763.0,548.0,3715.0,109.10621736027085,35.70811666666667,207.54691666666668,0.0,214.2487,84.21210713934256,70.81308888888888,214.2487,0.0,424.87853333333334,108.920656432263,3.5,6.0,1.0,21.0,1.8708286933869707,4.666666666666667,10.0,2.0,28.0,4.1311822359545785
7000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,9.0,60.0,1.5491933384829668,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,618.0,755.0,550.0,3708.0,104.57915662310535,34.248194444444444,200.19851666666668,0.0,205.48916666666668,81.31816405553673,67.97363888888889,205.48916666666668,0.0,407.84183333333334,104.75870208770921,3.5,6.0,1.0,21.0,1.8708286933869707,5.666666666666667,10.0,3.0,34.0,3.3862466931200785
45000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,12.0,10.0,64.0,1.0327955589886442,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,694.3333333333334,766.0,659.0,4166.0,54.741818262336395,17.82178055555556,104.28511666666668,0.0,106.93068333333335,42.36601052608804,35.47388055555555,106.93068333333332,0.0,212.84328333333332,54.540457087276465,3.5,6.0,1.0,21.0,1.8708286933869707,8.666666666666666,10.0,8.0,52.0,1.0327955589886442
15000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,66.0,0.0,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,698.3333333333334,702.0,697.0,4190.0,1.8618986725025084,0.7850388888888888,3.5587166666666668,0.0,4.710233333333333,1.3888212813856324,1.2101194444444443,4.710233333333333,0.0,7.260716666666666,1.771875594780748,3.5,6.0,1.0,21.0,1.8708286933869707,9.0,9.0,9.0,54.0,0.0
9000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,72.0,0.0,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,729.5,738.0,727.0,4377.0,4.230839160261246,1.8389972222222222,9.46185,0.0,11.033983333333333,3.753794484672464,2.341791666666666,11.033983333333332,0.0,14.050749999999997,4.297546197731781,3.5,6.0,1.0,21.0,1.8708286933869707,10.0,10.0,10.0,60.0,0.0
15000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,14.0,13.0,80.0,0.5163977794943226,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,841.8333333333334,895.0,816.0,5051.0,40.032070476889714,13.230686111111112,75.82676666666667,0.0,79.38411666666667,30.683690650210647,26.290713888888888,79.38411666666667,0.0,157.74428333333333,40.08647821681329,3.5,6.0,1.0,21.0,1.8708286933869707,13.0,15.0,12.0,78.0,1.5491933384829668
15000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,16.0,14.0,88.0,1.0327955589886442,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,891.8333333333334,1000.0,841.0,5351.0,78.12148658766462,26.363358333333338,143.20615,0.0,158.18015000000003,57.51583259933714,50.61235833333333,158.18015,0.0,303.67415,77.94823216825436,3.5,6.0,1.0,21.0,1.8708286933869707,15.0,18.0,13.0,90.0,2.3664319132398464
10000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,16.0,14.0,88.0,1.0327955589886442,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,897.1666666666666,987.0,852.0,5383.0,69.19947013284613,22.41457222222222,132.4641,0.0,134.4874333333333,53.91558587493114,44.856533333333324,134.48743333333334,0.0,269.13919999999996,68.9288677189979,3.5,6.0,1.0,21.0,1.8708286933869707,15.333333333333334,18.0,14.0,92.0,2.065591117977289
2000.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,16.0,15.0,93.0,0.5477225575051661,5.0,5.0,5.0,30.0,0.0,10.0,10.0,10.0,60.0,0.0,944.1666666666666,981.0,908.0,5665.0,39.625328600109654,12.194361111111109,71.28798333333333,0.0,73.16616666666665,28.957036008681445,36.34449722222222,73.16616666666667,0.0,218.06698333333333,39.73580874764448,3.5,6.0,1.0,21.0,1.8708286933869707,17.0,18.0,16.0,102.0,1.0954451150103321
