"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability";LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
"207005.0;1.0;1.0;1.0;0.9996732473373412;1.0;0.9999999999134864;0.9999999999134864";1.0;0.9994326273241105;0.9994326273241105
"208499.0;0.0;1.0;0.0;0.9999828338623048;1.0;0.999999999997034;0.999999999997034";1.0;0.9997104589965738;0.9997104589965738
"208514.0;0.0;1.0;0.0;0.9999914169311525;1.0;0.999999999997034;0.999999999997034";1.0;0.9991963322968326;0.9991963322968326
"209087.0;0.0;1.0;0.0;0.9886271357536316;1.0;0.9999999999983932;0.9999999999983932";1.0;0.9996712773161516;0.9996712773161516
"210071.0;0.0;1.0;1.0;0.9999189376831056;1.0;0.9999999999969995;0.9999999999969995";1.0;0.9986645075226692;0.9986645075226692
"210827.0;1.0;1.0;1.0;0.9959204196929932;1.0;0.9999999999969995;0.9999999999969995";1.0;0.9980020618766391;0.9980020618766391
"213195.0;1.0;1.0;0.0;0.9235474467277528;1.0;0.9999999999983932;0.9999999999983932";1.0;0.9989778626992334;0.9989778626992334
"213411.0;1.0;1.0;0.0;0.9729748368263244;1.0;0.9999999999983932;0.9999999999983932";1.0;0.997421117377111;0.997421117377111
"205065_2;1;2;1;0.9951147;1.0;0.9999999999999966;0.9999999999999966";1.0;0.9891186995321949;0.9891186995321949
"205474_2;0;2;0;0.75013906;1.0;0.9999999999992888;0.9999999999992888";1.0;0.9810306990287216;0.9810306990287216
"209577_2;1;2;0;0.99997556;1.0;0.9999999999992292;0.9999999999992292";-0.048094373865698925;0.9746766692514555;0.9746766692514555
"209712_2;1;2;0;1.0;1.0;0.9999999999983524;0.9999999999983524";0.08125000000000004;0.9881076822537561;0.9881076822537561
"210668_2;0;2;1;0.99963355;1.0;0.9999999999996194;0.9999999999996194";1.0;0.9679074725932374;0.9679074725932374
"210872_2;0;2;0;0.8073363;1.0;0.999999999998908;0.999999999998908";1.0;0.9871749819682131;0.9871749819682131
"212298_2;0;2;0;0.9999134;1.0;1.0;1.0";1.0;0.9629024046648148;0.9629024046648148
"213906_2;1;2;1;0.8368223;1.0;0.9999999999999984;0.9999999999999984";1.0;0.9785327094797326;0.9785327094797326
"204808_3;0;3;1;0.9906951;1.0;0.9999999999997465;0.9999999999997465";1.0;0.39571758745743213;0.39571758745743213
"204936_3;0;3;0;0.6575738;1.0;0.9999999999999084;0.9999999999999084";0.7061965811965811;0.979563332464323;0.979563332464323
"204999_3;0;3;1;0.99884063;1.0;0.9999999999999815;0.9999999999999815";0.6854575163398693;0.8594776372119696;0.8594776372119696
