Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
DSMD;1;1;1;0.9725404684507776;1.0;1.0;1.0;1.0;0.9153767435318356;0.9153767435318356
HTPD;1;1;1;0.8774499948444581;1.0;1.0;1.0;1.0;0.9130984595988803;0.9130984595988803
LIIE;0;1;0;0.9322123136880384;1.0;1.0;1.0;0.15019438557222498;0.8951968331117752;0.8951968331117752
MHRD;0;1;0;0.8244489456840474;1.0;1.0;1.0;0.1504665749415499;0.9170970141825412;0.9170970141825412
TIOD;0;1;0;0.8051647447150159;1.0;1.0;1.0;0.1545060790546301;0.9046781439646343;0.9046781439646343
WXND;1;1;0;0.9259082877654224;1.0;1.0;1.0;1.0;0.9229185445159026;0.9229185445159026
XGPE;1;1;0;0.9484699080638671;1.0;1.0;1.0;0.15406709511865824;0.8583579410810241;0.8583579410810241
ZKXD;0;1;0;0.9917133922601966;1.0;1.0;1.0;0.151277260421408;0.7468908196496161;0.7468908196496161
DSAE_2;1;2;0;0.9735029435419488;1.0;1.0;1.0;0.24393519889575221;0.7692780066871894;0.7692780066871894
DUOD_2;0;2;0;0.9993249390535314;1.0;1.0;1.0;0.25414043111891294;-13.876760565640744;-13.876760565640744
OVWD_2;0;2;0;0.9384040140722884;1.0;1.0;1.0;0.23857013012469097;0.7378969076478574;0.7378969076478574
RCAE_2;1;2;1;0.9999999640620724;1.0;1.0;1.0;0.7141533340897915;0.7392059423017624;0.7392059423017624
TLHE_2;1;2;1;0.9999999838286556;1.0;1.0;1.0;0.7141533340897915;0.562667243815969;0.562667243815969
VISD_2;1;2;1;0.882774930583885;1.0;1.0;1.0;0.24172563463408991;0.738772784945882;0.738772784945882
YYIE_2;0;2;0;0.9412657362522212;1.0;1.0;1.0;0.2519162100880288;0.640215064347331;0.640215064347331
ZLPD_2;0;2;0;0.9577103220863338;1.0;1.0;1.0;0.25592988120046134;0.7583892078202652;0.7583892078202652
EPMD_3;1;3;1;0.999985964742776;1.0;1.0;1.0;0.16367359150024685;0.5225931920842231;0.5225931920842231
EWAE_3;0;3;0;0.9999655049199044;1.0;1.0;1.0;0.2439940111306399;0.6306799098387561;0.6306799098387561
LBKE_3;1;3;1;0.9999531696752038;1.0;1.0;1.0;0.16499239770359286;0.5704830542203949;0.5704830542203949
QIDE_3;0;3;0;0.9989986709510316;1.0;1.0;1.0;0.23569628482572846;0.4342675163314563;0.4342675163314563
RZLD_3;1;3;0;0.9972421192888481;1.0;1.0;1.0;0.23609655859398726;0.19094105330998457;0.19094105330998457
TALD_3;0;3;0;0.9893362773818796;1.0;1.0;1.0;0.2319454303460512;0.564963454953535;0.564963454953535
XKJD_3;1;3;1;0.9999927879309504;1.0;1.0;1.0;0.171123898979064;0.41574863844501553;0.41574863844501553
ZXKE_3;0;3;0;0.9427103754066994;1.0;1.0;1.0;0.2431385281385281;0.12042965502347536;0.12042965502347536
BAME_4;1;4;0;0.8687490284083265;1.0;1.0;1.0;0.047103580679289325;0.6471956778382884;0.6471956778382884
EOAE_4;1;4;0;0.9999995532364148;1.0;1.0;1.0;0.24161241738311479;0.6076178107153084;0.6076178107153084
IVZD_4;0;4;0;0.9940696387956349;1.0;1.0;1.0;0.2527608976908192;-0.05284407570795491;-0.05284407570795491
NXBE_4;0;4;0;0.9785276302218784;1.0;1.0;1.0;0.24126619429728668;0.583213856161114;0.583213856161114
SMOD_4;1;4;0;0.9993576681679962;1.0;1.0;1.0;0.255888813403538;0.6474976809068722;0.6474976809068722
UQWD_4;1;4;1;0.6204559043751349;1.0;1.0;1.0;0.2516642939461733;0.6784751724674756;0.6784751724674756
XRKE_4;0;4;0;0.9493305017469366;1.0;1.0;1.0;0.2396965477076869;0.6652462462743565;0.6652462462743565
ZUJD_4;0;4;0;0.9994395500284404;1.0;1.0;1.0;0.2488152463892367;0.5479611309005268;0.5479611309005268
DKLE_5;0;5;0;0.5527192432141685;1.0;1.0;1.0;0.07254401771484342;0.7808766855565021;0.7808766855565021
FUKE_5;1;5;1;0.9116926590193928;1.0;1.0;1.0;0.04777711077845115;0.34629134877347967;0.34629134877347967
JLZD_5;0;5;0;0.9922888334644732;1.0;1.0;1.0;0.05254820905146851;0.9059912116366695;0.9059912116366695
LKMD_5;1;5;0;0.9606697172089776;1.0;1.0;1.0;-0.023630061880709707;0.8660243667287518;0.8660243667287518
RLDE_5;1;5;0;0.7358966544640467;1.0;1.0;1.0;0.055918684820789544;0.8267117342252471;0.8267117342252471
RROD_5;0;5;0;0.9988519904032236;1.0;1.0;1.0;0.050424541710225035;0.9035817811661775;0.9035817811661775
UAME_5;1;5;1;0.9112849742998199;1.0;1.0;1.0;0.05181669535802613;0.8638415073138676;0.8638415073138676
YFND_5;0;5;0;0.9990763164439671;1.0;1.0;1.0;-0.019720966032775067;0.23831222874361624;0.23831222874361624
DLVD_6;0;6;0;0.9999825569402748;1.0;1.0;1.0;-0.03945680647211813;-0.18012344589164053;-0.18012344589164053
EJSD_6;1;6;0;0.976559483476678;1.0;1.0;1.0;-0.031463332386727716;0.8389614677225783;0.8389614677225783
HCCE_6;0;6;0;0.9999825907554036;1.0;1.0;1.0;-0.043917779386508204;0.6110478541434341;0.6110478541434341
KZVD_6;1;6;1;0.9998990975658724;1.0;1.0;1.0;0.13605120332315224;0.898336998817291;0.898336998817291
OSBE_6;1;6;1;0.9999144371629236;1.0;1.0;1.0;0.16584629968917197;0.9189580481195744;0.9189580481195744
QLKE_6;0;6;0;0.9999889328256532;1.0;1.0;1.0;-0.050013337783143985;0.9076994863666752;0.9076994863666752
UTGE_6;1;6;1;0.999722566815348;1.0;1.0;1.0;0.18107991210364593;0.3368513250599424;0.3368513250599424
XMWD_6;0;6;0;0.9997721650192228;1.0;1.0;1.0;-0.034654428497704615;0.8054204219676074;0.8054204219676074
CDPD_7;1;7;0;0.9991374442895146;1.0;1.0;1.0;1.0;0.5699534458845967;0.5699534458845967
DRVD_7;0;7;0;0.9999999979437144;1.0;1.0;1.0;0.17327809440024466;0.5787610453445716;0.5787610453445716
DWGE_7;0;7;0;0.9999720745025577;1.0;1.0;1.0;0.17206971982924635;-0.22922275900765143;-0.22922275900765143
EFZD_7;0;7;0;0.9999988465929256;1.0;1.0;1.0;0.16433547855237152;0.6056919107601975;0.6056919107601975
GOSD_7;0;7;0;0.9999999999071364;1.0;1.0;1.0;0.16120209285955123;0.6100965118829187;0.6100965118829187
MRVD_7;1;7;0;0.6909825145865472;1.0;1.0;1.0;0.16444589837360646;0.2938248314214824;0.2938248314214824
MWUD_7;1;7;1;0.9997098073370352;1.0;1.0;1.0;1.0;0.44797048074265444;0.44797048074265444
SQFE_7;1;7;0;0.935164386463056;1.0;1.0;1.0;0.16217312192795985;-1.8740794677364319;-1.8740794677364319
