static__AMOUNT_REQ,agg__Activity_A_ACCEPTED-COMPLETE,agg__Activity_A_FINALIZED-COMPLETE,agg__Activity_A_PARTLYSUBMITTED-COMPLETE,agg__Activity_A_PREACCEPTED-COMPLETE,agg__Activity_A_SUBMITTED-COMPLETE,agg__Activity_O_SELECTED-COMPLETE,agg__Activity_W_Afhandelen leads-COMPLETE,agg__Activity_W_Afhandelen leads-SCHEDULE,agg__Activity_W_Afhandelen leads-START,agg__Activity_W_Beoordelen fraude-COMPLETE,agg__Activity_W_Beoordelen fraude-SCHEDULE,agg__Activity_W_Beoordelen fraude-START,agg__Activity_W_Completeren aanvraag-COMPLETE,agg__Activity_W_Completeren aanvraag-SCHEDULE,agg__Activity_W_Completeren aanvraag-START,agg__Resource_10138.0,agg__Resource_10188.0,agg__Resource_10228.0,agg__Resource_10609.0,agg__Resource_10629.0,agg__Resource_10779.0,agg__Resource_10809.0,agg__Resource_10859.0,agg__Resource_10861.0,agg__Resource_10862.0,agg__Resource_10863.0,agg__Resource_10880.0,agg__Resource_10881.0,agg__Resource_10889.0,agg__Resource_10909.0,agg__Resource_10910.0,agg__Resource_10912.0,agg__Resource_10913.0,agg__Resource_10914.0,agg__Resource_10929.0,agg__Resource_10931.0,agg__Resource_10932.0,agg__Resource_10933.0,agg__Resource_10935.0,agg__Resource_10939.0,agg__Resource_10971.0,agg__Resource_10972.0,agg__Resource_10982.0,agg__Resource_11000.0,agg__Resource_11001.0,agg__Resource_11002.0,agg__Resource_11003.0,agg__Resource_11009.0,agg__Resource_11019.0,agg__Resource_11049.0,agg__Resource_11111.0,agg__Resource_11119.0,agg__Resource_11120.0,agg__Resource_11121.0,agg__Resource_11122.0,agg__Resource_11169.0,agg__Resource_11179.0,agg__Resource_11180.0,agg__Resource_11181.0,agg__Resource_11189.0,agg__Resource_112.0,agg__Resource_11200.0,agg__Resource_11201.0,agg__Resource_11202.0,agg__Resource_11203.0,agg__Resource_11259.0,agg__Resource_other,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
20000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.714285714285714,12.0,1.0,40.0,5.879747322073337,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,382.42857142857144,765.0,98.0,2677.0,354.13126433704264,95.20165952380952,657.1260333333333,0.0,666.4116166666666,247.79467506614088,284.3175547619048,666.4116166666666,0.0,1990.2228833333334,354.0538627427313,4.142857142857143,8.0,1.0,29.0,2.410295378065479,4.857142857142857,10.0,1.0,34.0,4.810702354423639
5000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.714285714285714,15.0,9.0,75.0,2.3603873774083297,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,663.1428571428571,927.0,548.0,4642.0,153.15833699304847,54.141711904761905,207.54691666666668,0.0,378.99198333333334,91.04018082429457,114.83864523809522,378.9919833333333,0.0,803.8705166666666,153.14754905328792,4.0,7.0,1.0,28.0,2.160246899469287,6.571428571428571,18.0,2.0,46.0,6.294366339755546
7000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714286,12.0,9.0,72.0,1.6035674514745464,4.285714285714286,5.0,0.0,30.0,1.889822365046136,10.0,10.0,10.0,70.0,0.0,634.2857142857143,755.0,550.0,4440.0,104.7404956479175,437.36228095238096,2856.0468,0.0,3061.535966666667,1069.1198733969761,495.6254,3061.535966666667,0.0,3469.3778,1135.4943957835997,4.0,7.0,1.0,28.0,2.160246899469287,13.714285714285714,62.0,3.0,96.0,21.51522163271301
45000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,10.0,77.0,1.290994448735805,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,709.1428571428571,798.0,659.0,4964.0,63.501781002395425,19.955238095238098,104.28511666666668,0.0,139.6866666666667,39.0844452533558,50.361421428571425,139.68666666666667,0.0,352.52995,63.48509007733679,4.0,7.0,1.0,28.0,2.160246899469287,9.0,11.0,8.0,63.0,1.290994448735805
15000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,77.0,0.0,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,699.1428571428571,704.0,697.0,4894.0,2.7342623276105598,0.6728904761904762,3.5587166666666668,0.0,4.710233333333333,1.3020732154222765,2.0404880952380955,7.0227,0.0,14.283416666666668,2.7281624969374105,4.0,7.0,1.0,28.0,2.160246899469287,9.0,9.0,9.0,63.0,0.0
9000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,84.0,0.0,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,731.0,740.0,727.0,5117.0,5.537749241945389,1.8888714285714288,9.46185,0.0,13.222100000000001,3.429269540710371,3.8961214285714285,13.2221,0.0,27.27285,5.683514742589554,4.142857142857143,8.0,1.0,29.0,2.410295378065479,10.0,10.0,10.0,70.0,0.0
15000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,13.714285714285714,16.0,13.0,96.0,1.1126972805283741,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,860.7142857142857,974.0,816.0,6025.0,61.89430314580461,22.68949285714286,79.44233333333334,0.0,158.82645000000002,37.56137957188141,45.22439047619048,158.82645,0.0,316.57073333333335,62.03622767096334,4.0,7.0,1.0,28.0,2.160246899469287,13.571428571428571,17.0,12.0,95.0,2.0701966780270626
15000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,14.857142857142858,16.0,14.0,104.0,1.0690449676496971,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,908.5714285714286,1009.0,841.0,6360.0,83.94612784966544,23.898376190476196,143.20615,0.0,167.28863333333337,52.90802199806796,67.28039761904762,167.28863333333334,0.0,470.96278333333333,83.71402003571966,4.0,7.0,1.0,28.0,2.160246899469287,15.428571428571429,18.0,13.0,108.0,2.439750182371333
10000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.857142857142858,16.0,14.0,104.0,1.0690449676496971,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,911.7142857142857,999.0,852.0,6382.0,73.97232429702852,20.965233333333334,132.4641,0.0,146.75663333333333,49.36712214995065,59.413690476190474,146.75663333333333,0.0,415.8958333333333,73.7746553550661,4.0,7.0,1.0,28.0,2.160246899469287,15.714285714285714,18.0,14.0,110.0,2.1380899352993947
2000.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.571428571428571,16.0,15.0,109.0,0.5345224838248487,5.0,5.0,5.0,35.0,0.0,10.0,10.0,10.0,70.0,0.0,949.4285714285714,981.0,908.0,6646.0,38.75933067386117,10.454971428571428,71.28798333333333,0.0,73.1848,26.83163457464851,41.60739761904762,73.1848,0.0,291.2517833333333,38.854415340681044,4.0,7.0,1.0,28.0,2.160246899469287,17.142857142857142,18.0,16.0,120.0,1.0690449676496974
