Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
0;0;0.99565804;1;1;1;0.102380952;0.997864954;0.997864954;1.0;1.0;1.0;1.0;1.0;1.0
1;0;0.7504598000000001;1;1;1;0.638372278;0.996375086;0.996375086;;1.0;1.0;1.0;1.0;1.0
0;0;0.6768673000000001;1;1;1;0.203438481;0.995869523;0.995869523;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.8991974;1;1;1;0.375356037;0.995909242;0.995909242;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.87252915;1;1;1;0.064515399;0.984459125;0.984459125;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.97046673;1;1;1;0.251901944;0.99709905;0.99709905;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.997677;1;1;1;0.320545654;0.996043175;0.996043175;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99866813;1;1;1;0.314659553;0.995807748;0.995807748;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.55655336;1;1;1;0.246109237;0.99670161;0.99670161;1.0;1.0;1.0;1.0;1.0;1.0
1;0;0.7249589;1;1;1;0.243988369;0.994110579;0.994110579;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9957625;1;1;1;0.222973473;0.996910525;0.996910525;1.0;1.0;1.0;1.0;1.0;1.0
1;0;0.87384015;1;1;1;0.116767639;0.995794619;0.995794619;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9792936;1;1;1;0.243992467;0.996695601;0.996695601;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.78746;1;1;1;0.273664552;0.995811707;0.995811707;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.96503556;1;1;1;0.262411348;0.990185608;0.990185608;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9984879;1;1;1;0.098135569;0.997273862;0.997273862;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9576861;1;1;1;0.193816391;0.995745247;0.995745247;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.66740847;1;1;1;0.583170848;0.997534927;0.997534927;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99622816;1;1;1;0.261881978;0.987921864;0.987921864;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.5440248000000001;1;1;1;0.265832997;0.993910716;0.993910716;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9115583;1;1;1;0.211925466;0.996085671;0.996085671;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.66508;1;1;1;0.267399267;0.996735344;0.996735344;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9910605;1;1;1;0.1645346;0.991420558;0.991420558;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.97456;1;1;1;0.233680814;0.996284198;0.996284198;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9629546999999998;1;1;1;0.084192074;0.9958166;0.9958166;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.9972308;1;1;1;0.167950233;0.995003669;0.995003669;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.97761196;1;1;1;0.271020251;0.995865303;0.995865303;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.98741996;1;1;1;0.233705943;0.996679792;0.996679792;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.999593;1;1;1;0.425332633;0.988277776;0.988277776;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.999593;1;1;1;0.195376143;0.996501558;0.996501558;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99629164;1;1;1;0.228200371;0.992984928;0.992984928;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.6340792;1;1;1;0.265373748;0.936236106;0.936236106;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.93850267;1;1;1;0.283988984;0.993115389;0.993115389;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.56112754;1;1;1;0.612765957;0.986788695;0.986788695;;1.0;1.0;1.0;1.0;1.0
0;0;0.9594957;1;1;1;0.523406655;0.995324085;0.995324085;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.98917115;1;1;1;0.44010281;0.995253928;0.995253928;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.95676816;1;1;1;0.182986111;0.987235713;0.987235713;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.54070604;1;1;1;-0.014972575;0.986652781;0.986652781;1.0;1.0;1.0;1.0;1.0;1.0
1;0;0.6021882;1;1;1;0.459459459;0.995514725;0.995514725;;1.0;1.0;1.0;1.0;1.0
0;0;0.719411;1;1;1;0.6780952379999999;0.994598238;0.994598238;;1.0;1.0;1.0;1.0;1.0
1;0;0.61880946;1;1;1;0.267418033;0.993241884;0.993241884;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.8928214;1;1;1;0.307024704;0.988325643;0.988325643;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.98034114;1;1;1;0.184615385;0.997162397;0.997162397;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99855036;1;1;1;0.235566643;0.995732133;0.995732133;1.0;1.0;1.0;1.0;1.0;1.0
1;0;0.5939112;1;1;1;0.557183714;0.991392137;0.991392137;;1.0;1.0;1.0;1.0;1.0
0;0;0.9993962;1;1;1;0.254807692;0.993856104;0.993856104;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.65826577;1;1;1;0.464307357;0.997808716;0.997808716;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.7690739000000001;1;1;1;0.289888211;0.996689115;0.996689115;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.81011593;1;1;1;0.33413252;0.993276346;0.993276346;1.0;1.0;1.0;1.0;1.0;1.0
0;0;0.99699223;1;1;1;0.293373524;0.996686329;0.996686329;1.0;1.0;1.0;1.0;1.0;1.0
1;1;0.88805234;1;1;1;0.532490079;0.996458517;0.996458517;1.0;1.0;1.0;1.0;1.0;1.0
