sepal_length,sepal_width,petal_length,petal_width,Result
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(5.76, 6.5]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
"(4.71, 5.76]","(2.39, 3.0]","(3.1, 4.5]","(0.9, 1.5]",Negative
