sepal_length,sepal_width,petal_length,petal_width,Result
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.19]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.19, 5.8]","(2.39, 3.0]","(1.0, 1.4]","(0.1, 0.2]",Positive
