sepal_length,sepal_width,petal_length,petal_width,Result
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(4.3100000000000005, 5.24]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
"(5.24, 5.9]","(2.99, 3.6]","(1.0, 1.4]","(0.1, 0.2]",Positive
