iter;dataset;cls;method;param;value;score
2;sepsis_cases_1;logit;single_agg;C;6.7123230917751435;0.8391596544759898
2;sepsis_cases_1;logit;single_agg;processing_time;3.3869454860687256;0
3;sepsis_cases_1;logit;single_agg;C;-13.532754644044669;0.648433468932974
3;sepsis_cases_1;logit;single_agg;processing_time;3.071103096008301;0
4;sepsis_cases_1;logit;single_agg;C;-11.038340881232266;0.6573934566574794
4;sepsis_cases_1;logit;single_agg;processing_time;3.021954298019409;0
5;sepsis_cases_1;logit;single_agg;C;8.085056040369519;0.8391761136223823
5;sepsis_cases_1;logit;single_agg;processing_time;3.239206075668335;0
6;sepsis_cases_1;logit;single_agg;C;-11.63775964221385;0.6553880028972996
6;sepsis_cases_1;logit;single_agg;processing_time;3.0438597202301025;0
7;sepsis_cases_1;logit;single_agg;C;-1.4309457018880192;0.8159681961429738
7;sepsis_cases_1;logit;single_agg;processing_time;3.2817184925079346;0
8;sepsis_cases_1;logit;single_agg;C;0.17036301402527343;0.8293599148464493
8;sepsis_cases_1;logit;single_agg;processing_time;3.2469570636749268;0
9;sepsis_cases_1;logit;single_agg;C;5.1619683904243665;0.842425058360793
9;sepsis_cases_1;logit;single_agg;processing_time;3.255251169204712;0
10;sepsis_cases_1;logit;single_agg;C;-9.198185878400391;0.6796664105979128
10;sepsis_cases_1;logit;single_agg;processing_time;3.0130035877227783;0
11;sepsis_cases_1;logit;single_agg;C;-14.988383645515418;0.6506909593825291
11;sepsis_cases_1;logit;single_agg;processing_time;3.0169646739959717;0
