iter;dataset;cls;method;param;value;score
2;production;nb;single_agg;var_smoothing;0.01519911082952933;0.8083952556119592
2;production;nb;single_agg;processing_time;0.737628698348999;0
3;production;nb;single_agg;var_smoothing;8.111308307896873e-06;0.8063878941688589
3;production;nb;single_agg;processing_time;0.6273560523986816;0
4;production;nb;single_agg;var_smoothing;0.0008111308307896872;0.8063878941688589
4;production;nb;single_agg;processing_time;0.6333191394805908;0
5;production;nb;single_agg;var_smoothing;0.03511191734215131;0.8097953889073805
5;production;nb;single_agg;processing_time;0.6652648448944092;0
6;production;nb;single_agg;var_smoothing;0.657933224657568;0.8077686996670522
6;production;nb;single_agg;processing_time;0.6997036933898926;0
7;production;nb;single_agg;var_smoothing;0.23101297000831597;0.8096292167223624
7;production;nb;single_agg;processing_time;0.7161664962768555;0
8;production;nb;single_agg;var_smoothing;1.232846739442066e-07;0.8063878941688589
8;production;nb;single_agg;processing_time;0.6378152370452881;0
9;production;nb;single_agg;var_smoothing;3.511191734215127e-05;0.8063878941688589
9;production;nb;single_agg;processing_time;0.6293303966522217;0
10;production;nb;single_agg;var_smoothing;3.5111917342151277e-07;0.8063878941688589
10;production;nb;single_agg;processing_time;0.6463077068328857;0
11;production;nb;single_agg;var_smoothing;1e-08;0.8063878941688589
11;production;nb;single_agg;processing_time;0.6867201328277588;0
