iter;dataset;cls;method;param;value;score
2;sepsis_cases_1;nb;single_agg;var_smoothing;0.01;0.798701253260329
2;sepsis_cases_1;nb;single_agg;processing_time;3.0909793376922607;0
3;sepsis_cases_1;nb;single_agg;var_smoothing;2.848035868435799e-08;0.7837131489261931
3;sepsis_cases_1;nb;single_agg;processing_time;3.1246566772460938;0
4;sepsis_cases_1;nb;single_agg;var_smoothing;0.2848035868435802;0.7079101410678673
4;sepsis_cases_1;nb;single_agg;processing_time;3.4038076400756836;0
5;sepsis_cases_1;nb;single_agg;var_smoothing;1e-06;0.7790659403412915
5;sepsis_cases_1;nb;single_agg;processing_time;3.40866756439209;0
6;sepsis_cases_1;nb;single_agg;var_smoothing;5.336699231206302e-09;0.7843975215898542
6;sepsis_cases_1;nb;single_agg;processing_time;3.4243741035461426;0
7;sepsis_cases_1;nb;single_agg;var_smoothing;0.0004328761281083057;0.785673516097289
7;sepsis_cases_1;nb;single_agg;processing_time;3.375880002975464;0
8;sepsis_cases_1;nb;single_agg;var_smoothing;0.0008111308307896872;0.7929207248169763
8;sepsis_cases_1;nb;single_agg;processing_time;3.4216530323028564;0
9;sepsis_cases_1;nb;single_agg;var_smoothing;0.0002848035868435802;0.788644248645601
9;sepsis_cases_1;nb;single_agg;processing_time;3.386986494064331;0
10;sepsis_cases_1;nb;single_agg;var_smoothing;8.111308307896873e-08;0.7818037689723646
10;sepsis_cases_1;nb;single_agg;processing_time;3.4746477603912354;0
11;sepsis_cases_1;nb;single_agg;var_smoothing;2.848035868435799e-06;0.7808388368249908
11;sepsis_cases_1;nb;single_agg;processing_time;3.4071645736694336;0
