iter;dataset;cls;method;param;value;score
2;bpic2012_accepted;xgboost;single_agg;colsample_bytree;0.9324031248345499;0.9998778092764692
2;bpic2012_accepted;xgboost;single_agg;learning_rate;0.7831848597590702;0.9998778092764692
2;bpic2012_accepted;xgboost;single_agg;max_depth;30;0.9998778092764692
2;bpic2012_accepted;xgboost;single_agg;min_child_weight;4;0.9998778092764692
2;bpic2012_accepted;xgboost;single_agg;n_estimators;90;0.9998778092764692
2;bpic2012_accepted;xgboost;single_agg;subsample;0.93676853104248;0.9998778092764692
2;bpic2012_accepted;xgboost;single_agg;processing_time;117.03164386749268;0
3;bpic2012_accepted;xgboost;single_agg;colsample_bytree;0.04176449215452038;0.44034510424983636
3;bpic2012_accepted;xgboost;single_agg;learning_rate;3.9191279124144813;0.44034510424983636
3;bpic2012_accepted;xgboost;single_agg;max_depth;16;0.44034510424983636
3;bpic2012_accepted;xgboost;single_agg;min_child_weight;5;0.44034510424983636
3;bpic2012_accepted;xgboost;single_agg;n_estimators;150;0.44034510424983636
3;bpic2012_accepted;xgboost;single_agg;subsample;0.5762183180510299;0.44034510424983636
3;bpic2012_accepted;xgboost;single_agg;processing_time;39.85565519332886;0
4;bpic2012_accepted;xgboost;single_agg;colsample_bytree;0.28439213076142555;0.0
4;bpic2012_accepted;xgboost;single_agg;learning_rate;2.218480317055291;0.0
4;bpic2012_accepted;xgboost;single_agg;max_depth;13;0.0
4;bpic2012_accepted;xgboost;single_agg;min_child_weight;2;0.0
4;bpic2012_accepted;xgboost;single_agg;n_estimators;110;0.0
4;bpic2012_accepted;xgboost;single_agg;subsample;0.7236352778486317;0.0
4;bpic2012_accepted;xgboost;single_agg;processing_time;45.40786576271057;0
5;bpic2012_accepted;xgboost;single_agg;colsample_bytree;0.6100500138366026;0.9637406072780261
5;bpic2012_accepted;xgboost;single_agg;learning_rate;1.7546097287787399;0.9637406072780261
5;bpic2012_accepted;xgboost;single_agg;max_depth;11;0.9637406072780261
5;bpic2012_accepted;xgboost;single_agg;min_child_weight;2;0.9637406072780261
5;bpic2012_accepted;xgboost;single_agg;n_estimators;15;0.9637406072780261
5;bpic2012_accepted;xgboost;single_agg;subsample;0.9217820519235254;0.9637406072780261
5;bpic2012_accepted;xgboost;single_agg;processing_time;36.258811712265015;0
6;bpic2012_accepted;xgboost;single_agg;colsample_bytree;0.055535795708832936;0.44034510424983636
