iter;dataset;cls;method;param;value;score
2;production;xgboost;single_agg;colsample_bytree;0.3785935199155289;0.9967177223254103
2;production;xgboost;single_agg;learning_rate;0.7720746848726978;0.9967177223254103
2;production;xgboost;single_agg;max_depth;6;0.9967177223254103
2;production;xgboost;single_agg;min_child_weight;2;0.9967177223254103
2;production;xgboost;single_agg;n_estimators;125;0.9967177223254103
2;production;xgboost;single_agg;subsample;0.6624312249546913;0.9967177223254103
2;production;xgboost;single_agg;processing_time;1.203843355178833;0
3;production;xgboost;single_agg;colsample_bytree;0.5821707598798517;0.7053845196474434
3;production;xgboost;single_agg;learning_rate;4.14312759103672;0.7053845196474434
3;production;xgboost;single_agg;max_depth;24;0.7053845196474434
3;production;xgboost;single_agg;min_child_weight;2;0.7053845196474434
3;production;xgboost;single_agg;n_estimators;165;0.7053845196474434
3;production;xgboost;single_agg;subsample;0.7948480971366043;0.7053845196474434
3;production;xgboost;single_agg;processing_time;1.0520412921905518;0
4;production;xgboost;single_agg;colsample_bytree;0.14036043758248573;0.9761792457701272
4;production;xgboost;single_agg;learning_rate;3.140516715132672;0.9761792457701272
4;production;xgboost;single_agg;max_depth;5;0.9761792457701272
4;production;xgboost;single_agg;min_child_weight;0;0.9761792457701272
4;production;xgboost;single_agg;n_estimators;110;0.9761792457701272
4;production;xgboost;single_agg;subsample;0.7106436593234045;0.9761792457701272
4;production;xgboost;single_agg;processing_time;1.1032004356384277;0
