static__AMOUNT_REQ,index__hour_0,index__weekday_0,index__month_0,index__timesincemidnight_0,index__timesincelastevent_0,index__timesincecasestart_0,index__event_nr_0,index__open_cases_0,index__hour_1,index__weekday_1,index__month_1,index__timesincemidnight_1,index__timesincelastevent_1,index__timesincecasestart_1,index__event_nr_1,index__open_cases_1,index__Activity_0_A_SUBMITTED-COMPLETE,index__Activity_1_A_PARTLYSUBMITTED-COMPLETE,index__Resource_0_112.0,index__Resource_1_112.0
20000.0,1.0,5.0,10.0,98.0,0.0,0.0,1.0,1.0,1.0,5.0,10.0,98.0,0.0055666666666666,0.0055666666666666,2.0,1.0,1.0,1.0,1.0,1.0
5000.0,9.0,5.0,10.0,548.0,0.0,0.0,1.0,2.0,9.0,5.0,10.0,549.0,0.06565,0.06565,2.0,2.0,1.0,1.0,1.0,1.0
7000.0,9.0,5.0,10.0,550.0,0.0,0.0,1.0,3.0,9.0,5.0,10.0,550.0,0.0050666666666666,0.0050666666666666,2.0,3.0,1.0,1.0,1.0,1.0
45000.0,10.0,5.0,10.0,659.0,0.0,0.0,1.0,8.0,10.0,5.0,10.0,659.0,0.0048,0.0048,2.0,8.0,1.0,1.0,1.0,1.0
15000.0,11.0,5.0,10.0,697.0,0.0,0.0,1.0,9.0,11.0,5.0,10.0,697.0,0.0049,0.0049,2.0,9.0,1.0,1.0,1.0,1.0
9000.0,12.0,5.0,10.0,727.0,0.0,0.0,1.0,10.0,12.0,5.0,10.0,727.0,0.0108166666666666,0.0108166666666666,2.0,10.0,1.0,1.0,1.0,1.0
15000.0,13.0,5.0,10.0,816.0,0.0,0.0,1.0,12.0,13.0,5.0,10.0,816.0,0.0044,0.0044,2.0,12.0,1.0,1.0,1.0,1.0
15000.0,14.0,5.0,10.0,841.0,0.0,0.0,1.0,14.0,14.0,5.0,10.0,841.0,0.0039833333333333,0.0039833333333333,2.0,14.0,1.0,1.0,1.0,1.0
10000.0,14.0,5.0,10.0,852.0,0.0,0.0,1.0,14.0,14.0,5.0,10.0,852.0,0.0033666666666666,0.0033666666666666,2.0,14.0,1.0,1.0,1.0,1.0
2000.0,15.0,5.0,10.0,908.0,0.0,0.0,1.0,16.0,15.0,5.0,10.0,908.0,0.0031666666666666,0.0031666666666666,2.0,16.0,1.0,1.0,1.0,1.0
5000.0,15.0,5.0,10.0,909.0,0.0,0.0,1.0,17.0,15.0,5.0,10.0,909.0,0.00365,0.00365,2.0,17.0,1.0,1.0,1.0,1.0
10000.0,15.0,5.0,10.0,914.0,0.0,0.0,1.0,18.0,15.0,5.0,10.0,914.0,0.0042666666666666,0.0042666666666666,2.0,18.0,1.0,1.0,1.0,1.0
32000.0,16.0,5.0,10.0,975.0,0.0,0.0,1.0,18.0,16.0,5.0,10.0,975.0,0.0055166666666666,0.0055166666666666,2.0,18.0,1.0,1.0,1.0,1.0
5000.0,20.0,5.0,10.0,1205.0,0.0,0.0,1.0,23.0,20.0,5.0,10.0,1205.0,0.0022333333333333,0.0022333333333333,2.0,23.0,1.0,1.0,1.0,1.0
5000.0,20.0,5.0,10.0,1206.0,0.0,0.0,1.0,24.0,20.0,5.0,10.0,1206.0,0.0027,0.0027,2.0,24.0,1.0,1.0,1.0,1.0
5000.0,20.0,5.0,10.0,1214.0,0.0,0.0,1.0,25.0,20.0,5.0,10.0,1214.0,0.0024166666666666,0.0024166666666666,2.0,25.0,1.0,1.0,1.0,1.0
6000.0,20.0,5.0,10.0,1232.0,0.0,0.0,1.0,26.0,20.0,5.0,10.0,1232.0,0.00295,0.00295,2.0,26.0,1.0,1.0,1.0,1.0
15000.0,21.0,5.0,10.0,1279.0,0.0,0.0,1.0,27.0,21.0,5.0,10.0,1279.0,0.0082166666666666,0.0082166666666666,2.0,27.0,1.0,1.0,1.0,1.0
5000.0,22.0,5.0,10.0,1327.0,0.0,0.0,1.0,30.0,22.0,5.0,10.0,1327.0,0.0034166666666666,0.0034166666666666,2.0,30.0,1.0,1.0,1.0,1.0
